Genre_A,Genre_B,Title
무료,전략,Minion Masters
액션,어드벤처,Minion Masters
액션,인디,Minion Masters
액션,전략,Minion Masters
어드벤처,인디,Minion Masters
어드벤처,전략,Minion Masters
인디,전략,Minion Masters
RPG,,The Elder Scrolls V: Skyrim Special Edition
레이싱,액션,Super Pixel Racers
레이싱,인디,Super Pixel Racers
액션,인디,Super Pixel Racers
액션,어드벤처,Just Cause 4
스포츠,시뮬레이션,theHunter: Call of the Wild™
스포츠,어드벤처,theHunter: Call of the Wild™
시뮬레이션,어드벤처,theHunter: Call of the Wild™
RPG,시뮬레이션,Purrfect Date
RPG,어드벤처,Purrfect Date
RPG,인디,Purrfect Date
RPG,캐주얼,Purrfect Date
시뮬레이션,어드벤처,Purrfect Date
시뮬레이션,인디,Purrfect Date
시뮬레이션,캐주얼,Purrfect Date
어드벤처,인디,Purrfect Date
어드벤처,캐주얼,Purrfect Date
인디,캐주얼,Purrfect Date
RPG,액션,NieR:Automata™
시뮬레이션,전략,Bomber Crew
액션,,SOULCALIBUR VI
무료,인디,KARDS - The WWII Card Game
무료,전략,KARDS - The WWII Card Game
무료,캐주얼,KARDS - The WWII Card Game
인디,전략,KARDS - The WWII Card Game
인디,캐주얼,KARDS - The WWII Card Game
전략,캐주얼,KARDS - The WWII Card Game
액션,,Danganronpa Another Episode: Ultra Despair Girls
<No Genres>,,Danganronpa V3: Killing Harmony
액션,,Monster Hunter: World
액션,인디,Dead Cells
RPG,어드벤처,Ni no Kuni™ II: Revenant Kingdom
무료,전략,Yu-Gi-Oh! Duel Links
액션,,Wolfenstein II: The New Colossus
시뮬레이션,캐주얼,Museum of Other Realities
시뮬레이션,액션,Ultimate Epic Battle Simulator
시뮬레이션,어드벤처,Ultimate Epic Battle Simulator
시뮬레이션,인디,Ultimate Epic Battle Simulator
시뮬레이션,전략,Ultimate Epic Battle Simulator
액션,어드벤처,Ultimate Epic Battle Simulator
액션,인디,Ultimate Epic Battle Simulator
액션,전략,Ultimate Epic Battle Simulator
어드벤처,인디,Ultimate Epic Battle Simulator
어드벤처,전략,Ultimate Epic Battle Simulator
인디,전략,Ultimate Epic Battle Simulator
레이싱,액션,Steel Rats
RPG,액션,Sword Art Online: Fatal Bullet
RPG,액션,Maneater
RPG,어드벤처,Maneater
RPG,인디,Maneater
액션,어드벤처,Maneater
액션,인디,Maneater
어드벤처,인디,Maneater
RPG,,FINAL FANTASY XV WINDOWS EDITION
액션,인디,Will Glow the Wisp
액션,어드벤처,Pogostuck: Rage With Your Friends
액션,인디,Pogostuck: Rage With Your Friends
액션,캐주얼,Pogostuck: Rage With Your Friends
어드벤처,인디,Pogostuck: Rage With Your Friends
어드벤처,캐주얼,Pogostuck: Rage With Your Friends
